Name,phone
"International Public School, Bhopal",none
"NRI Global Discovery School, Bhopal","Phone: 0755-2983333, 8236819826"
"Sanskar International School, Bilkisganj",none
"The Sanskaar Valley School, Bhopal",none
"Abhisar Public School, Bhopal",Phone: 9826081041
"Aerokids Pre School, Bhopal","Phone: 7552751658, 9424443432"
"Anand Vihar School, Bhopal",Phone: 0755 2552792
"Anant Utsav School, Bhopal","Phone: 9229325127, 9229325128"
"Angelic School, Bhopal",Phone: 9827669333
"APJ Public School, Bhopal",Phone: 7552754262
"Army Public School, Bhopal",Phone: 0755 2970386. 2970388
"Asia Pacific International School, Bhopal",Phone: 0755 2879377
"Asnani School, Bhopal",Phone: 9589810080
"Bal Bharati Public School, Nishatpura","Phone: 0755 2747976, 2730206"
"Bal Bhavan School, Bhopal","Phone: 0755 2661052, 2661261"
"Bal Bhawan School, Bhopal","Phone: 0755 2661052, 2661261"
"Bethel Public School, Bhopal",Phone: 0755 4075616
"Bhopal Public School, Bhopal","Phone: 0755 2414744, 2489621"
"Billabong High International School, Bhopal","Phone: 0755 2696799, 2696818"
"Brain Power Public School, Bhopal",Phone: 9893084868
"Campion School, Bhopal",Phone: 0755 2464426
"Carmel Convent Senior Secondary School, Bhopal",Phone: 0755 2488578
"Delhi Public School, Bhopal",none
"Delhi Public School, Bhopal","Phone: 0755 2433900, 2433901"
"Dream India School, Ashoka Nagar",Phone: 8818887409
"Dynamic Public Hr Sec School, Bhopal","Phone: 9827355211, 9893377795"
"Eastern Public School, Bhopal",Phone: 0755 2805695
"Einstein Public School, Bhopal",Phone: 0755 2468306
"EuroKids Pre School, Arera Colony",Phone: 9009409470
"Eurokids Pre School, Saket Nagar",Phone: 9584625195
"Everonn Public School, Bhopal",Phone: 180042251822
"Gyan Ganga International Academy, Bhopal",none
"Hema Higher Secondary School, Bhopal","Phone: 0755 2457270, 2488205"
"Hind Convent Higher Secondary School, Bhopal","Phone: 0755 2705634, 4221233"
"Holy Family Convent Sr Sec School, Bhopal","Phone: 0755 2528826, 2528144"
"Kamla Nehru Higher Secondary School, Bhopal","Phone: 0755 2762130, 4244355"
"Kamla Nehru Hr Sec School, Bhopal","Phone: 0755 2762130, 244355"
"Kangaroo Kids, Arera Colony",Phone: 0755 2469974
"Kangaroo Kids, Bhopal",Phone: 0755 2469974
Kendriya Vidyalaya Bairagarh,"Phone: 0755 2641244, 2640997"
"Kendriya Vidyalaya, CRPF Bangrasia",Phone: 07480 262411
"Kendriya Vidyalaya, No.1 Bhopal",Phone: 0755 2551640
"Kendriya Vidyalaya, No.2 Bhopal",Phone: 0755 2576442
"Kendriya Vidyalaya, No.3 Bhopal",Phone: 0755 4297829
"Kidzee Pre School, Aryan Nagar",Phone: 9165767414
"Kidzee Pre School, Gautam Nagar",Phone: 0755 4273334
"Kidzee Pre School, Gulmohar",Phone: 9425011607
"Kidzee Pre School, Jaatkhedi",Phone: 0755 2902619
"Kidzee Pre School, Koh E Fiza",Phone: 9977030030
"Kidzee Pre School, Kolar Road",Phone: 0755 4298115
"Kidzee Pre School, Lalghati",Phone: 9039747198
"Kidzee Pre School, Nehru Nagar, Bhopal","Phone: 9713741378, 9893221001"
"Kidzee Pre School, Piplani",Phone: 7697652909
"Kidzee Pre School, Saket Nagar",Phone: 8109206599
"KKC Public School, Bhopal",Phone: 0755 3255743
"Little Millennium, Airport Road, Bhopal",Phone: 9009200533
"Little Millennium, Choona Bhatti, Bhopal","Phone: 0755 2010844, 4292307"
"Maharishi Vidya Mandir, Bhopal",none
"Maharishi Vidya Mandir, Bhopal","Phone: 0755 4000626, 4000627"
"Manipal Public School, Bhopal",Phone: 0755 4202650
"May Flower Public School, Bhopal","Phone: 0755 4286912, 2770499"
"Milestone Public School, Bhopal",Phone: 0755 2493293
"Mithi Gobindram Public School, Bhopal","Phone: 0755-2644131, 2644132"
Mother Teresa Senior Secondary School Bhopal,none
"Mount Carmel School, Bhopal","Phone: 0755 2481118, 4229740"
"Nalanda CoEd Secondary School, Bhopal",Phone: 0755 4218899
"Nalanda Public School, Bhopal",Phone: 9993365369
"Navnidh Hassomal Lakhani Public School, Bhopal","Phone: 0755 2640111, 2645151"
"Podar International School, Bhopal","Phone: 8519008888, 8291896652"
"Radcliffe School, Bhopal","Phone: 0755 4225501, 4225502"
"Rajeev Gandhi Higher Secondary School, Bhopal",Phone: 0755 2725122
"Red Rose School, Berasia Road","Phone: 0755 2736849, 2735452"
"Red Rose School, Karond","Phone: 0755 2739898, 2730989"
"Red Rose School, Lambakheda","Phone: 0755 2854662, 2854663"
"Renaissance Divine Public School, Bhopal",Phone: 0755 6419329
"Ryan International School, Bhopal","Phone: 9098935909, 7489318560"
"Sagar Public School, Gandhinagar","Phone: 9039010516, 9039043942"
"Sagar Public School, Saket Nagar","Phone: 0755 2489601, 2489602"
