Name,phone
"Agarwal Vidya Vihar School, Surat","Phone: 0261 2914400, 2919888"
"AL Muminah School, Surat","Phone: 8980161026, 9427113993"
"Anand Niketan School, Surat",Phone: 9737047673
"Bright Star English School, Surat",Phone: 0261 6541777
"Broadway International School, Surat","Phone: 9924195200, 9924195300"
"Citizens School, Surat","Phone: 0261 2779697, 2779698"
"Delhi Public School, Surat","Phone: 0261 2204500, 2204501"
"Delhi Public School, Tapi","Phone: 9662048973, 9558822567"
"Divine Child High School, Surat","Phone: 0261 2231515, 2231660"
"Dream Highs Scholar English Academy, Surat",Phone: 0261 6534765
"Dream India School, Surat","Phone: 7096004513, 7096004512"
"Essar International School, Surat","Phone: 0261 6684073, 6684074"
"Euro School, Surat","Phone: 0261 6513000, 6513004"
"Gajera Global School, Surat","Phone: 8460522223, 8460522225"
"GD Goenka International School, Surat",none
"Global Indian International School, Surat",Phone: 0261 291195
"Hills High School, Surat","Phone: 9033093477, 9033095477"
"Kangaroo Kids, Surat",Phone: 0261 3229254
Kendriya Vidyalaya No.1 Ichhanath Surat,Phone: 0261 2255684
"Kendriya Vidyalaya No.2, Kribhco Surat","Phone: 0261 2802604, 2802605"
"Kendriya Vidyalaya, No.3 ONGC","Phone: 0261 2875439, 2875470"
"Kids Planet English School, Surat",Phone: 0261 2766274
"Lancers Army School, Surat","Phone: 0261 2212735, 2257621"
"LE Mont High School, Surat",Phone: 8805025875
"Little Millennium, City Light",Phone: 9825043418
"Little Millennium, Ghoddod Road",Phone: 0261 2239123
"Little Millennium, Surat",Phone: 9909256774
"Little Millennium, Surat",Phone: 9825055551
"Little Millennium, Surat",Phone: 9825411189
"Little Millennium, Vesu, Surat","Phone: 8238455668, 9825511189"
"London Kids, Vesu",Phone: 7878736789
lord Krishna International School,Phone: 9157599000
lord Krishna International School,Phone: 9824419000
lord Krishna International School,Phone: 0261-2273000
"LP Savani Academy, Vesu",Phone: 0261 6452626
"LP Savani International School, Surat","Phone: 7201802525, 7201812525"
"LP Savani Vidya Bhavan, Surat","Phone: 0261 2732626, 2747835"
"Madresa High School, Surat",Phone: 02622 221095
"Mount Litera Zee School, Surat",Phone: 8155800000
"Podar International School, Surat","Phone: 9824743777, 7574807046"
"Podar Jumbo Kids, Parvat Patiya",Phone: 0261-3112354
"Podar Jumbo Kids, Simada","Phone: 0261 6456451, 6455441"
"PP Savani Cambridge International School, Surat","Phone: 9909991024, 9909991034"
"Radiant English Academy, Surat","Phone: 0261 2721730, 6532653"
"Shemrock Angel Kids, Surat",Phone: 8488800882
"Shemrock Little Kingdom, Surat",Phone: 9978771349
"Shri Swaminarayan Mission School, Surat",none
"Smartkidz Play School, Jahangirabad","Phone: 7623905901, 7623905902"
Smt KM Jariwala English Medium Girls High School,Phone: 0261 6549275
"Surat Public School, Surat",Phone: 0261 6440366
"Tapti Valley International School, Surat","Phone: 02621 306000, 2660100"
"The Millennium School, Surat","Phone: 8980086000, 8980400333"
"Tiny Kids Pre-School, Surat",Phone: 0261 2435873
