Name,phone
"Aditya Birla High School, Muri",Phone: 06522 244147
"Alpha International School, Ranchi",none
"Army Public School, Ranchi",Phone: 0651 2273354
"Bishop Westcott Boys School, Ranchi","Phone: 0651 6565004, 6565005"
"Bridgeford School, Ranchi","Phone: 0651 6999444, 6999555"
"Cambrian Public School, Ranchi",Phone: 7631000024
"Cambrian Public School, Ranchi",Phone: 7677878910
"DAV Alok Public School, Ranchi",Phone: 9234300830
"DAV Co Operative Sr Secondary School, Ranchi","Phone: 06531 246234, 246447"
"DAV Kapil Dev Public School, Ranchi",Phone: 0651 655530
"DAV Modern Public School, Ranchi",Phone: 9905700594
"DAV Nandraj Public School, Bariatu","Phone: 0651 2545489, 3208328"
"DAV Public School, Bariatu","Phone: 0651 6555582, 2541191"
"DAV Public School, Gandhi Nagar","Phone: 0651 2231183, 6571875"
"DAV Public School, Hehal","Phone: 0651 3206920, 6900840"
"DAV Public School, Ranchi",Phone: 0651 2511825
"DAV Public School, Ranchi",none
"Delhi Public School, Greater Ranchi","Phone: 9430000038, 7004600441"
"Delhi Public School, Ranchi",Phone: 0651 2440707
"Delhi Public School, Sail Township Ranchi",Phone: 0651 2440707
"Don Bosco Academy, Ranchi",none
"EuroKids Booty More, Ranchi",Phone: 9334383168
"EuroKids Kanke Road II, Ranchi",Phone: 8084994139
"EuroKids Pre School, Kadru",Phone: 8987588000
"EuroKids Pre School, Morabadi",Phone: 9835161094
"EuroKids Upper Bazar, Ranchi",Phone: 9386399472
"Firayalal Public School, Ranchi",Phone: 0651 2208260
"Firstmark Public School, Ranchi",Phone: 0651 2544545
"Gauri Dutt Mandelia High School, Ranchi",Phone: 9430127888
"Gobind Ram Kataruka School, Ranchi","Phone: 7294987790, 9835224517"
"Grace Heart School, Ranchi",none
"Greenland Public School, Ranchi",Phone: 0651 6455443
"Guru Nanak High Secondary School, Ranchi","Phone: 0651 2331784, 2332550"
"Guru Nanak Higher Secondary School, Ranchi","Phone: 0651 2331784, 2332550"
"Holy Cross Girls High School, Ranchi",Phone: 0651 2530412
"International Public School, Ranchi",none
"Jawahar Vidya Mandir, Ranchi",Phone: 0651 2411221
"Jharkhand Public School, Ranchi",Phone: 0651 6570334
"Kairali School, Ranchi","Phone: 0651 2442484, 2443016"
"Kangaroo Kids, Ranchi",Phone: 8790894329
Kendriya Vidyalaya HEC No.1,Phone: 0651 2443548
"Kendriya Vidyalaya, CCL Rajendra Nagar",Phone: 0651 6520330
"Kendriya Vidyalaya, Chandrapura CTPS",Phone: 06549 242259
"Kendriya Vidyalaya, Dipatoli",Phone: 0651 2265292
"Kendriya Vidyalaya, Hinoo",Phone: 0651 2482242
"Kendriya Vidyalaya, Hinoo 2nd Shift",Phone: 0651 2482242
"Kendriya Vidyalaya, Namkum","Phone: 0651 2260171, 2261652"
"Kids Zone, Ranchi",Phone: 0651 3212111
"L A Garden High School, Ranchi",none
"Lady KC Roy Memorial School, Ranchi",Phone: 0651 6453409
"Loreto Convent School, Ranchi",Phone: 0651 2410042
"Nirja Sahay DAV Public School, Kanke, Ranchi",Phone: 0651 2450456
"Oxford Public School, Ranchi","Phone: 7485096731, 7485096732"
"Ram Tahal Choudhary High School, Ranchi",Phone: 0651 2542114
"Sachidanand Gyan Bharti Model School, Ranchi","Phone: 9334714607, 8102997994"
"Sadaf Public School, Ranchi",Phone: 0651 2532731
"Sapphire International School, Ranchi",none
"Sarala Birla Public School, Ranchi",none
"Saraswati Shishu Vidya Mandir, Ranchi",none
"Shemrock Champs, Ranchi",Phone: 0651-2510232
"Shemrock Little Achievers, Ranchi","Phone: 8002703700, 9431584999"
"SR DAV Public School, Pundag","Phone: 0651 2241997, 6570647"
"SS DAV Centenary Public School, Khunti",Phone: 06528 220676
"St Arvindo Academy, Ranchi",Phone: 0651 2243615
"St Columbus School, Ranchi","Phone: 9097681099, 9576190299"
"St Francis School, Ranchi","Phone: 0651 2246549, 2234515"
"St George School, Ranchi",Phone: 7488524191
"St Jagat Gyan Public School, Ranchi",none
"St Johns High School, Ranchi",Phone: 0651 2213602
"St Johns School, Ranchi",Phone: 0651 2350072
"St Michaels Public School, Ranchi",Phone: 0651 2246098
"St Thomas School, Ranchi",Phone: 0651 2446649
"St Xaviers School, Ranchi","Phone: 0651 2253777, 2252444"
"Step By Step School, Ranchi",Phone: 9334727084
"Sunshine Nursery School, Ranchi",Phone: 9431109390
"Surendranath Centenary School, Ranchi","Phone: 0651 2902701, 2543887"
"Taurian World School, Ranchi",none
"Tender Heart School, Ranchi","Phone: 0651 3208106, 3203187"
"Vikas Vidyalaya, Ranchi",none
"W John Multipurpose Boarding School, Ranchi",none
