Name,phone
"GEMS Akademia International School, Kolkata",none
"Adamas Hr Sec Model School, Kolkata",none
"Adamas International School, Kolkata","Phone: 9830444749, 9734486547"
"Adamas World School, Kolkata","Phone: 9073904953, 8336959043"
"Amrita Vidyalayam, Kolkata","Phone: 033 24012333, 24015123"
"Ashok Hall Girls Hr Sec School, Kolkata","Phone: 033 22871271, 22874558"
"Birla High School, Kolkata",Phone: 033 24260160
"Bridge International School, Ballygunge","Phone: 033 24543509, 40052017"
"Calcutta International School, Anandapur",Phone: 033 65004702
"Calcutta Public School, Baguiati","Phone: 033 25717391, 25911472"
"Chowringhee High School, Kolkata",Phone: 033 22522087
"DAV Public School, Kolkata",Phone: 033 23961320
"Delhi Public School Newtown, Kolkata","Phone: 9830688888, 9874486899"
"Delhi Public School, Megacity",none
"Delhi Public School, Ruby Park","Phone: 033 71300239, 71300240"
"Delhi Public School, Ruby Park",Phone: 033 24415302
"Delhi Public School, Shanti Pally","Phone: 033 71300258, 71300265"
"Delhi Public School, Shanti Pally Kolkata","Phone: 033 71300258, 71300265"
"Dolna Day School, Kolkata","Phone: 033 24425032, 24424102"
"Don Bosco School, Kolkata","Phone: 033 22879202, 2287"
"DPS World School, Kolkata",Phone: 9830777443
"Edify Kids Pre School, Ballygunge",Phone: 9903052620
"Edify Kids Pre School, Kolkata",Phone: 9748656125
"EuroKids Ahallyanagar, Kolkata",Phone: 9477147930
"EuroKids Bangur Avenue, Kolkata",Phone: 9681513900
"EuroKids Behala, Kolkata",Phone: 9748735081
"EuroKids Birati, Kolkata",Phone: 9674740001
"EuroKids Biren Roy Road, Kolkata",Phone: 033 23468888
"EuroKids Boral Garia, Kolkata",Phone: 9836044545
"EuroKids Cossipore, Kolkata",Phone: 033 25468855
"EuroKids Dum Dum Park, Kolkata",Phone: 9874419675
"EuroKids Kestopur, Kolkata",Phone: 9830147018
"Eurokids Lake Town, Kolkata",Phone: 033 25345600
"EuroKids Maniktala, Kolkata",Phone: 9836681461
"EuroKids Narendrapur, Kolkata","Phone: 9674979729, 9674998186"
EuroKids Netaji Nagar,Phone: 9836289033
"EuroKids Northern Avenue, Kolkata",Phone: 033 25566783
"Eurokids Rahara, Kolkata",Phone: 9830070405
"EuroKids Salt Lake BB 26, Kolkata",Phone: 9748262961
"EuroKids Salt Lake, BJ Block, Kolkata",Phone: 7044090505
"EuroKids Sinthee, Kolkata","Phone: 9883339397, 9088131221"
"EuroKids Survey Park, Kolkata",Phone: 9051013108
"EuroKids Theatre Road, Kolkata",Phone: 9830404084
"EuroKids Topsia, Kolkata","Phone: 8902774656, 9903786795"
"EuroKids VIP Road, Kolkata",Phone: 9331013506
"EuroKids, New Alipore",Phone: 8100146594
"EuroKids, Salt Lake FD",Phone: 9831535925
"G Singh Memorial School, Kolkata",Phone: 033 23515985
"Garden High International School, Rajdanga",Phone: 033 24413804
"Garden High School, Prantik Palli",Phone: 033 24414131
"Gokhale Memorial Girls College, Kolkata",none
"Hare School, Kolkata",Phone: 033 22413868
"Hartley Higher Secondary School, Kolkata","Phone: 033 22903451, 22903452"
"Hartley Higher Secondary School, Kolkata","Phone: 033 22903451, 22903452"
"Indira Gandhi Memorial High School,Kolkata","Phone: 033 25111716, 25112338"
"Indus Valley World School, Ajoy Nagar",Phone: 033 71205250
"International Public School, Sukanta Nagar","Phone: 033 25675431, 25676329"
"Kangaroo Kids, Kolkata",Phone: 033 40069635
"Kangaroo Kids, Kolkata",Phone: 033 40648585
"Kangaroo Kids, New Alipore, Kolkata","Phone: 033 32942864, 32942865"
"Kangaroo Kids, Salt Lake, Kolkata",Phone: 033 23213270
Kendriya Vidyalaya Ballygunge,Phone: 033 24865171
"Kendriya Vidyalaya Command Hospital, Alipore",Phone: 033 24792281
Kendriya Vidyalaya Cossipore,Phone: 033 25578327
Kendriya Vidyalaya IIM Joka,Phone: 033 24671052
Kendriya Vidyalaya Kankinara,Phone: 033 25812502
Kendriya Vidyalaya No.2 Ishapore,Phone: 033 25409004
Kendriya Vidyalaya Ordnance Factory Dum Dum,Phone: 033 25592500
"Kendriya Vidyalaya, Barrackpore","Phone: 033 25920865, 25920865"
"Kendriya Vidyalaya, No.1 Ishapore",Phone: 033 25938318
"Kendriya Vidyalaya, No.1 Salt Lake","Phone: 033 23371242, 23212767"
"Kendriya Vidyalaya, No.2 Salt Lake","Phone: 033 23358486, 23357453"
"Kendriya Vidyalaya, Santragachi",Phone: 033 26573092
"Kidzee Haridevpur, Kolkata",Phone: 9804121213
